Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Pablo Marín,es ESP,MF,Real Sociedad,22,8,6,458,0,0,0,1,0,0.5,0.1
Gerard Martín,es ESP,DF,Barcelona,23,6,5,362,0,0,0,1,0,0,0.4
Iván Martín,es ESP,MF,Girona,26,7,6,540,0,1,0,3,1,0.1,0.2
Jon Martin,es ESP,DF,Real Sociedad,19,1,1,90,0,0,0,1,0,0.1,0
Mario Martín,es ESP,MF,Getafe,21,8,8,511,1,0,0,3,0,0.5,0.1
Arnau Martinez,es ESP,DF,Girona,22,7,5,349,1,0,0,2,0,0.3,0
Pablo Martínez,es ESP,MF,Levante,27,7,4,422,0,1,0,1,0,0.4,0.7
Ramón Martínez,es ESP,DF,Sevilla,22,1,0,14,0,0,0,0,0,0,0
Toni Martínez,es ESP,FW,Alavés,28,8,5,491,2,1,0,0,0,1,0.2
Omar Mascarell,gq EQG,MF,Mallorca,32,3,2,155,0,0,0,1,0,0,0
